"id_respuesta","id_pregunta","pregunta_informativa","es_informativa","mejor_segun_usuario","mejor_segun_comunidad","categoria0","categoria1","categoria2","titulo_pregunta","cuerpo_pregunta","respuesta"
"302777","64297","True","0","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","Jesus went to hell? I never knew that..maybe you should go to hell and see how satan treats you..?"
"302778","64297","True","1","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","The bible as I have looked for that moment doesn't say anything about Jesus going to hell that I have seen. The greater Idea is that Jesus preached His message to the people in Abraham's bosom(ie. David, Elisha, Moses, Jonah etc..) for three days. If I'm wrong and you can prove it please look at my account and email me. But I've never found Jesus going to hell in the Bible. Please look it up for yourselves and find the truth too. God bless."
"302779","64297","True","0","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","probably like his guest of honour."
"302780","64297","True","0","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","They played checkers and shared dove bars, Satan was after all his dad's left hand man.  When exactly did Jesus go to hell?"
"302781","64297","True","0","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","probably crappy..."
"302782","64297","True","1","1","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","Satan did not treat Jesus in any fashion whatsoever since Satan was not in Hell with Jesus.  

At Acts 2:25-35,  Peter's speech plainly states that Christ went to what the original Greek calls Hades.  Peter is quoting Psalms 16:10 and he makes clear that it prophetically applies to Jesus.  Some Bible translations read hell, others read Hades.  But since Peter uses the Greek word when citing to Psalm, it is obvious that Sheol and Hades (or Hell) are the same thing.  The scriptures also make it plain that Christ died.  He was dead.  And since Ecclesiastes 9:4-5, and 10 make it plain that there is absolutely no consciousness in death, when Jesus went to Sheol, or Hell, or Hades, he felt nothing, knew nothing and did nothing.  Death is not the opposite of life, death is the absence of it.  Moreover, since the scriptures do not say anything about Satan dying, then Satan was not in hell with Jesus.  The Bible Hell, Sheol and Hades are all the same thing:  it is the common grave of mankind where there is absolutely no consciousness.  In order to get out of hell you have to have a resurrection."
"302783","64297","True","0","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","The Bible doesn't say, but my guess is he didn't treat him too well..."
"302784","64297","True","0","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","jesus did not go to hell! that is crazy read your bible!"
"302785","64297","True","1","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","He descended to the dead. Not to hell."
"302786","64297","True","1","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","In the LDS religion we believe that he personally didn't go in to Hell, but into the world of Spirits, then organized missionary program to go in and teach those who were in Prison."
"302787","64297","True","0","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","jesus went down there to take out the trash. jesus probably punked satan"
"786632","137230","True","1","1","1","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how can u tell if a chanel purse is real?","my sister wants to know cuz sumone gave her one n shes not sure if its real, n neither does the person. its real leather n theres a tag inside that says ""chanel"" but its faded n worn. is there any other way to tell if its real?","There are several ways you can find out. First look at the logo carefully, most of the times there will be subtle differences with the original logo. This arises from the fact that the printing machine is different. Mind you Chanel is just a stamp, we do not know the actual suppliers. Although an imitation may be very close in quality as the original only a close inspection of the logo can ascertain the difference. This is more so, if the the machines used by the imitation manufacturer is the same."
"786633","137230","True","1","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how can u tell if a chanel purse is real?","my sister wants to know cuz sumone gave her one n shes not sure if its real, n neither does the person. its real leather n theres a tag inside that says ""chanel"" but its faded n worn. is there any other way to tell if its real?","it is not real because Chanel shoes has the name Chanel in the heel of the shoe and does not have a tag i know because i own a pair"
"786634","137230","True","1","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how can u tell if a chanel purse is real?","my sister wants to know cuz sumone gave her one n shes not sure if its real, n neither does the person. its real leather n theres a tag inside that says ""chanel"" but its faded n worn. is there any other way to tell if its real?","you can check by the tag , or bring it in to a store that has chanel bags and ask the people there."
"786635","137230","True","1","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how can u tell if a chanel purse is real?","my sister wants to know cuz sumone gave her one n shes not sure if its real, n neither does the person. its real leather n theres a tag inside that says ""chanel"" but its faded n worn. is there any other way to tell if its real?","yes. is the leather puckered? its fake. The chanel sign should be clearly printed, not smudged. Poor lined stitch? fake.
How faded is it? Is it pleather of leather?Think about it. Part of the reason why handbags are so expensive is because they use high end materials that are built to last."
"786636","137230","True","1","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how can u tell if a chanel purse is real?","my sister wants to know cuz sumone gave her one n shes not sure if its real, n neither does the person. its real leather n theres a tag inside that says ""chanel"" but its faded n worn. is there any other way to tell if its real?","Bring it to a store that sells Chanel or any Chanel Boutique and ask them if it's real.  Honestly, that's really one of the only ways to know for sure - without uploading pictures and going to a website that specializes in this kind of thing."
"786637","137230","True","1","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how can u tell if a chanel purse is real?","my sister wants to know cuz sumone gave her one n shes not sure if its real, n neither does the person. its real leather n theres a tag inside that says ""chanel"" but its faded n worn. is there any other way to tell if its real?","My sister told me that if you go to a store and look at the stitching (or the seams) of the real one and they look different than yours, then it's probably not real. I honestly still can't tell, but maybe that's because I don't pay much attention. ;)"
"394889","78749","True","1","0","1","Business & Finance","Personal Finance","Personal Finance","how do you invest cd ira's that were inherited from sibling to avoid excessive taxes?","","I'm going to restate the question to be sure that the answer is based on the correct set of circumstances: Your sibling who owned an IRA passed away and left you as beneficiary. If the sibling was under 70.5 years old and you under 70.5 years old as the beneficiary have taken constructive receipt of the funds, you must pay taxes at your ordinary income rate on all of the money ... if you have not taken constructive receipt of the funds you can roll the IRA over to another IRA that would be titled as an Inherited IRA. This means that you will be required to withdraw a certain dollar amount every year from this Inherited IRA based on your life expectancy. That means that the dollar amount you will be taxed on will be based on the dollar amount that is withdrawn. No matter what happens, you will eventually have to pay taxes on all of the money left to you. 

DO NOT listen to the other answer instructing you to put the money into a mutual fund, nobody can accurately know that mutual funds will perform better in the next 25 years than they have in the past 25, nor did they tell you which asset class or money manager to use. PLEASE go see a financial advisor and work with them on an asset allocation strategy based on your investment timeline, age, goals, and risk tolerance."
"394890","78749","True","1","1","0","Business & Finance","Personal Finance","Personal Finance","how do you invest cd ira's that were inherited from sibling to avoid excessive taxes?","","Roll them over (IRA rollovers). You should think about adding mutual funds to the IRA (they have perform well in the past 25 years. And can do better in the next 25 years)"
"447594","87032","True","0","0","1","Business & Finance","Renting & Real Estate","Renting & Real Estate","how do you gain leads for my property investment business I can pay $1000 per sale?","I am wondering if their is anyone out their with ideas of how to find people to help mefind leads for my property investment business Iwill pay $1000 per property sale.","hello do you purchase property in all 50 states?"
"447595","87032","True","1","0","0","Business & Finance","Renting & Real Estate","Renting & Real Estate","how do you gain leads for my property investment business I can pay $1000 per sale?","I am wondering if their is anyone out their with ideas of how to find people to help mefind leads for my property investment business Iwill pay $1000 per property sale.","You might try posting on craigslist in your area and any other areas you would be interested in investing in.  You should also try to establish relationships with real estate agents and brokers.  This way when they get people who really need to sell, they can contact you."
"447596","87032","True","1","1","0","Business & Finance","Renting & Real Estate","Renting & Real Estate","how do you gain leads for my property investment business I can pay $1000 per sale?","I am wondering if their is anyone out their with ideas of how to find people to help mefind leads for my property investment business Iwill pay $1000 per property sale.","If you are willing to be flexible with helping your sellers secure financing, you may want to establish a relationship with a mortgage broker.  They can send you their turndowns and you can send them people interested in buying a home who need financing."
"87186","24293","True","1","1","1","Business & Finance","Other - Business & Finance","Other - Business & Finance","how do you clrear out the search engine?","","You can't. Every word entered in the search bar goes to the storage system of the search engine such as google. Thats why google's stock went down when the federal goverment stated they wanted to look at search items entered to google.They don't delete that stuff."
"166621","41292","True","0","1","1","Entertainment & Music","Other - Entertainment","Other - Entertainment","How do I get a commercial agent in Los Angeles before I end up in the nut house?","","go to los angeles (hollywood area) and ask anyone. Girls serving food or drinks at bars and restaurants there are a good start. But be aware that L.A. residents are like cereal, some are fruits and the rest are flakes and nuts."
"382198","76660","True","1","1","1","Education & Reference","Homework Help","Homework Help","how do yuo forget a memory?","","Unfortunately you cannot forget a memory. Our minds store things and keep them, that is why it is important to treat others with respect and say kind things to others. You don't want to be responsible for creating a bad memory for them. 

Anytime bad memories come to me, I think of something that is more pleasant . I distract that thought and the memory goes away."
"382199","76660","True","0","0","0","Education & Reference","Homework Help","Homework Help","how do yuo forget a memory?","","you never forget memories just try to out weigh the bad ones for the good"
"382200","76660","True","0","0","0","Education & Reference","Homework Help","Homework Help","how do yuo forget a memory?","","delete it lol"
"382201","76660","True","0","0","0","Education & Reference","Homework Help","Homework Help","how do yuo forget a memory?","","You cant. It will fade away with time but you cant just get rid of it."
"382202","76660","True","0","0","0","Education & Reference","Homework Help","Homework Help","how do yuo forget a memory?","","Hit yourself over the head a few times."
"382203","76660","True","1","0","0","Education & Reference","Homework Help","Homework Help","how do yuo forget a memory?","","The memory gets replaced.It goes somewhere is in your mind, and then one day it just pops back up."
"382204","76660","True","1","0","0","Education & Reference","Homework Help","Homework Help","how do yuo forget a memory?","","try not to think about it so much"
"382205","76660","True","1","0","0","Education & Reference","Homework Help","Homework Help","how do yuo forget a memory?","","you dont reemember it anymore, it slips your mind"
"382206","76660","True","1","0","0","Education & Reference","Homework Help","Homework Help","how do yuo forget a memory?","","You can't. Sorry only time will make it less important and even then that dosen't work for some memories. Try making new ons that are good so that they overcome the one you would like to forget."
"370496","74890","True","1","0","1","Science & Mathematics","Chemistry","Chemistry","how do i convert 23.5grams to particles?","","23.5 X the molcular weight of what ever it is X Avogadro's number (6.0221415  10^23 ) = the number of atoms or molecules in 23.5 grams."
"370497","74890","True","1","0","0","Science & Mathematics","Chemistry","Chemistry","how do i convert 23.5grams to particles?","","get familiar with Avogadro's Constant 
http://en.wikipedia.org/wiki/Avogadro%27s_number

if you know what substance it is, it becomes rather easy to calculate the particles or grams value for it."
"370498","74890","True","0","0","0","Science & Mathematics","Chemistry","Chemistry","how do i convert 23.5grams to particles?","","with a sledge hammer"
"370499","74890","True","1","0","0","Science & Mathematics","Chemistry","Chemistry","how do i convert 23.5grams to particles?","","Convert to moles 6.18 X 10^23 (to the 23rd power) just use avagadros number.  Search it on yahoo."
"370500","74890","True","1","1","0","Science & Mathematics","Chemistry","Chemistry","how do i convert 23.5grams to particles?","","It depends on what the 23.5 grams is of.

Fist, you have to find the number of moles of that substance;
Moles = mass/Mr, where Mr - relative molecular mass

Then No. of atoms/molecules = moles * Avogadro's constant,
where Avogadro's constant - 6.022 * 10^23"
"323535","67655","True","1","0","1","Business & Finance","Renting & Real Estate","Renting & Real Estate","How can I get a free title search on my house online?","Everything I have found costs the price of a subscription or very high fee.","first of all a title search on your own house?? are you worried you dont have a clean title?  one would have been done on the home before you bought it(mortgage company would have made it mandatory) only reason anything should be on there to any problems is if someone sued you or you in major major debt
you can do one your self all a title company is going to do is get online or go downtown to the tax records and look it up by book and page."
"323536","67655","True","1","1","0","Business & Finance","Renting & Real Estate","Renting & Real Estate","How can I get a free title search on my house online?","Everything I have found costs the price of a subscription or very high fee.","Generally you cannot. even though it is public information you must personally go to the tax assessors office or have a title company do the search for you. They will have a charge for an individual. No one can do or will do it for free."
"603264","108884","True","1","1","1","Food & Drink","Vegetarian & Vegan","Vegetarian & Vegan","How do you make ""natto"" out of soy beans? Do you like it? And where can I buy the culture to ferment it with?","I've never eaten it, heard it tasted like blue cheese, which I have eaten and do like. I like fermenting things, so I want to try it.","Before making a full batch of natto at home, I suggest you try it at first.  I personally do not like natto because it leaves an aftertaste a bit too strong for my liking.  It does not remind me of cheese except for the fact that it ferments.  You could purchase them at Asian supermarkets at pretty decent price. 

Here's a recipe found on the net if you like natto after all:
 http://www.gaia21.net/natto/making.htm

Have fun!"
"603265","108884","True","0","0","0","Food & Drink","Vegetarian & Vegan","Vegetarian & Vegan","How do you make ""natto"" out of soy beans? Do you like it? And where can I buy the culture to ferment it with?","I've never eaten it, heard it tasted like blue cheese, which I have eaten and do like. I like fermenting things, so I want to try it.","they taste terrible. We called 'em snot beans. I agree they look, smell and taste rotten. Japanese women eat nato in the belief it will make their breasts bigger. If you like cultured soy products stick with tempeh."
"603266","108884","True","0","0","0","Food & Drink","Vegetarian & Vegan","Vegetarian & Vegan","How do you make ""natto"" out of soy beans? Do you like it? And where can I buy the culture to ferment it with?","I've never eaten it, heard it tasted like blue cheese, which I have eaten and do like. I like fermenting things, so I want to try it.","First of all, no, it doesn't taste like blue cheese!  It tastes .... it definitely tastes like fermented food, with that sort of vinegary bite you'll find in sharp cheese or yoghurt or sauerkraut, but I wouldnt' say it is reminiscent of blue cheese.

I'm sorry to say that I dont' know how to make it, but I'm not that sorry, because it's pretty gross.  It's not the taste of natto that is so unpleasant, but the texture.

When made properly, natto looks not fermented, but rotten. The beans are still in their recognizeable form, but very slimy, and in between every bean as you move or lift them are long, spiderweb-like strings.  These mysterious tendrils are the grossest part of natto.  It definitely looks like a bug colony.

That being said, it's very good for you. It's said in Japan that eating it helps to prevent or cure yeast infections.

Again, sorry I can't help you, but I will let you know that if the whole thing looks shiny and slimy, and you have wispy hairs of rottenness drifting in between every bean -- hey, you've got it right!  :)"
"773931","135170","True","0","0","1","Business & Finance","Corporations","Corporations","how does off shore companies work...and how exactly do they laundry money?","","you mean launder money?        http://en.wikipedia.org/wiki/Money_laundering"
"773932","135170","True","1","1","0","Business & Finance","Corporations","Corporations","how does off shore companies work...and how exactly do they laundry money?","","There are 10 million misconceptions about offshore companies. Most of those misconceptions come from ""poisoning"" from TV shows, which always show only one part of the story. 

(1) Offshore company is no more than a company that is not established in your home country. If you lived in United Kingdom, and you are a shareholder of a Hong Kong company, then Hong Kong is an offshore jurisdictions to you and a Hong Kong company is an offshore company. For people come from Hong Kong, a US company is an offshore company. Strange enough, a US Virgin Islands company is also an offshore company for US people although US Virgin Islands is an US territory. 

(2) Offshore companies are not merely used for tax planning purpose. Most of those offshore companies are used for cost-reduction purposes and almost the same proportion of those offshore companies is used for assets planning purpose - e.g. shareholding. 

(3) Tax, is by far the most ""un-wanted"" cost, so a large proportion of those offshore companies are situated in tax-free or low-tax countries, e.g. BVI, Singapore. Some international business corporation will choose establish offshore companies in offshore jurisdictions as their regional headquarter, to save cost. For example, popular choices are Singapore and Hong Kong for Asia regional headquarter. 

(4) Some offshore companies are used for asset planning purposes, say, for holding an international fund, or for listing on a stock market purposes because those jurisdictions' companies law offers a less restrictive regulations in designing shareholding structures. Cayman Island Companies is a very good example as it is accepted by most international stock exchange, and that Cayman Islands company laws follows the good tradition of British Common Law and company laws. 

(5) Some offshore companies are used for the purpose holding company or companies which offers services or doing business in a specialized industry, e.g. banking, insurance fund, IT business because of their favorable law which encourage the establishment of companies in a particular type of industry. E.g. Isle of Man is a reputable center for insurance fund, Luxembourg is famous for having all international banks established a branch in this small country and over 80% of its populations are working in the banking industry. Jersey is famous for trust and investment funds 

(4) People do use offshore companies to laundry money. But it is not offshore companies, which can laundry money, one must use ""offshore banking account"" to do so. Not only offshore companies can have an offshore account, a UK company, a US company a Canadian company can have an offshore account, hide their ill-earned money from their countries' authorities. Thats laundry of money, but there is no relationship between an offshore companies and laundry of money. An analogy is that 99.99% of people buying knives to use for cutting something, but some , very small part of those knife-owner, will us the knife to cut people. However, we would not jump to conclusion that the sole purpose of buying knife is to kill people."
"773933","135170","True","1","0","0","Business & Finance","Corporations","Corporations","how does off shore companies work...and how exactly do they laundry money?","","If you are a mexican you don't have to pay taxes to the United States of America.

There are countries with laws that let you live there or do business there and you don't have to pay them any taxes.

If you don't want to pay taxes you just move your corporation to one of those countries and you no longer have to pay taxes to anybody.

You cannot move to an island if you are General Motors or Wal-Mart but if you are a financial company buying and selling shares you only need a notebook and you can do business from the beach.

Let's say you steal cars in Detroit and you now have $1,000,000.00 USD in cash under your matress and you want to buy a nice house for your grandmother.

You cannot just buy the house with cash.

You need to turn your black money into white money first.

You hire a special company to turn your $1,000,000.00 USD black money into $900,000.00 USD white money.

Now you can buy the house.

I hope this helps."
"70563","19987","True","1","1","1","Business & Finance","Investing","Investing","how to maximise returns on your investments?","","Asset allocation and time are the two most important factors to maximize your returns and minimize risk.  Do some reading on modern portfolio theory."
"70564","19987","True","0","0","0","Business & Finance","Investing","Investing","how to maximise returns on your investments?","","make a lot of money and invest in hedge funds. seriously, in general, when you take more risk, you will get a higher return. so if you invest in companies that are risky, you will probably get a much higher return if they end up turning out to be a good company."
"70565","19987","True","0","0","0","Business & Finance","Investing","Investing","how to maximise returns on your investments?","","go (goog)"
"59581","16857","True","1","1","1","Education & Reference","Trivia","Trivia","how did festus, mo get it's name?","","According to one web site, it was named for a character in the Bible. There is a Porcius Festus mentioned in the book of Acts in the New Testament."
"595342","107769","True","1","1","1","Arts & Humanities","Philosophy","Philosophy","how to get the love of a father who get angry with his daughter thinking she is trying to limit him?","","the father sounds irresponsible in his thinking that a daughter will limit him. it is a father's duty to love the daughter. if he is holding back his love due to irresponsible thinking there isn't much the daughter can do. 
a father's first duty is to his children. if the children hamper his career ambitions and recreational wants, it is his duty to consider the children first then adjust these wants and ambitions around what is best for the family all together. he cannot only think of himself. if that is the base of this problem, the children may look to seek help at school, from teachers... from neighbors, from other adults that may be better able to get to the root of the problem. like grandparents. children cannot correct parental flaws on their own. adult help is needed."
"595343","107769","True","1","0","0","Arts & Humanities","Philosophy","Philosophy","how to get the love of a father who get angry with his daughter thinking she is trying to limit him?","","Sit down, open up and listen, the same for the father.  Get it out in the open, this time next week things will have improved a little."
"595344","107769","True","0","0","0","Arts & Humanities","Philosophy","Philosophy","how to get the love of a father who get angry with his daughter thinking she is trying to limit him?","","How can a daughter limit a father? I would think most daughters would think a father was limiting them. We need a little more facts on this one."
"111288","30064","True","1","1","1","Business & Finance","Other - Business & Finance","Other - Business & Finance","how to I change the size of the letters on my screen? they are too big?","","If you are referring to the letters on your browser (Internet Explorer, in particular).. open Internet Explorer and click on View, then select Text Size, and pick a smaller font.

If you are referring to the letters on your screen in general (like on your desktop or on windows).. click on your Start menu and select Control Panel.  Then double-click on Display and select the Appearance tab.  You'll see a drop-down menu for Font Size.. you can change the size there."
"111289","30064","True","1","0","0","Business & Finance","Other - Business & Finance","Other - Business & Finance","how to I change the size of the letters on my screen? they are too big?","","Hold down the control key and turn the wheel on your mouse away from you or go to view in the toolbar-choose text size and then choose a size smaller than the one that is presently chosen."
"111290","30064","True","1","0","0","Business & Finance","Other - Business & Finance","Other - Business & Finance","how to I change the size of the letters on my screen? they are too big?","","Up top (File, Edit, View, Favorites, Tools, Help), go to View, then go to text size and pick which one you want."
"111291","30064","True","1","0","0","Business & Finance","Other - Business & Finance","Other - Business & Finance","how to I change the size of the letters on my screen? they are too big?","","Go to ""View"" at the top of your screen. Then click ""Text Size"". Choose the size that suits you best"
"111292","30064","True","1","0","0","Business & Finance","Other - Business & Finance","Other - Business & Finance","how to I change the size of the letters on my screen? they are too big?","","I hold down the control button, then I rotate the wheel on my mouse and the letters on my screen will change size."
"243425","54304","True","0","0","1","Games & Recreation","Other - Games & Recreation","Other - Games & Recreation","how to remove frogs from a pond?","","Don't.  Frogs only live where conditions are perfect and there is no pollution etc.  You could be trying to get rid of an endangered species.  Live and let live."
"243426","54304","True","1","1","0","Games & Recreation","Other - Games & Recreation","Other - Games & Recreation","how to remove frogs from a pond?","","Install a good sized snake.  

But why would you want to remove frogs from your pond?  Our pond is full of toads and a couple frogs and its cool to watch them.  If you don't want tadpoles, just scoop out the eggs and take them somewhere else - dump them or take them to a public pond or something.  This is toad breeding season, and I know it can get loud at night with their calls, but it will stop soon."
"243427","54304","True","1","0","0","Games & Recreation","Other - Games & Recreation","Other - Games & Recreation","how to remove frogs from a pond?","","hi!! we had this problem last yr in our pond.. we just caught them all n took them down to a local pond. made sure most of the frog spawn was gone.. but apparently i heard theyll come back to where they were spawned or whatever the word is! we have since got rid of the  pond and seen a few frogs on the lawn where it was! they must be well confused!!"
"243428","54304","True","1","0","0","Games & Recreation","Other - Games & Recreation","Other - Games & Recreation","how to remove frogs from a pond?","","buy a pathon and let it go in the lake he should eat them all."
"599411","108349","True","1","1","1","Beauty & Style","Hair","Hair","How do hair dressers get paid and how much do they get paid?","","commissions-50/50 (40/60 starting - up to 60/40 . 50/50 is average)
booth rental (normally on a commission basis)
tips

some stylists don't get commissions for selling product. some have to pay for the product they use on clients (i've never understood that, though)."
"599412","108349","True","0","0","0","Beauty & Style","Hair","Hair","How do hair dressers get paid and how much do they get paid?","","boi they get PAID. they r their own bosses nd work what ever hours they want. i have a homegirl who works at a spa, hair stylin, nd she just got her a chrystler 300!"
"599413","108349","True","1","0","0","Beauty & Style","Hair","Hair","How do hair dressers get paid and how much do they get paid?","","usually paid in by the number of customers they're handling. If u're good salon owners give percentage of profit as incentives."
"599414","108349","True","1","0","0","Beauty & Style","Hair","Hair","How do hair dressers get paid and how much do they get paid?","","Most often, they rent a booth from a salon, get paid according to their fees or a scale from the salon.  And if you're looking to go into this profession....I say go for it!  Great profession but you need to do more than just style hair.  Cosmetologist baby. <g>"
"599415","108349","True","0","0","0","Beauty & Style","Hair","Hair","How do hair dressers get paid and how much do they get paid?","","Their salarys are not that great, but if their good the tips can make up a large proportion."
"605807","109221","True","1","1","1","Cars & Transportation","Maintenance & Repairs","Maintenance & Repairs","How do you take off mild scratches from the windscreen?","","""Jewellers Rouge"" will work (it is an ultrafine diamond  powder which is made into a paste by adding a little water). The scuff/scratch mark,if not too deep, can be manually rubbed with the rouge,(which is  white in colour & not red as you might expect!),using a cloth and your fingers, but if you can come up with an electric drill or, better still a ""dremel""-style high speed polishing tool with a hard felt mop/bit in it your job will be a lot easier! You can finish off with  brasso if you like,manually or with the mop. Solely using brasso would take yonks!"
"605808","109221","True","1","0","0","Cars & Transportation","Maintenance & Repairs","Maintenance & Repairs","How do you take off mild scratches from the windscreen?","","Metal polish - I have used Brasso in the past."
